Energy (eV)    DOS (1/eV)    PDOS (1/eV)  of atom type Mo S  
     -4.99000      3.21831      1.45809      1.76022
     -4.98000      2.98493      1.40005      1.58488
     -4.97000      2.83975      1.28756      1.55219
     -4.96000      2.20850      0.94569      1.26281
     -4.95000      1.80741      0.73678      1.07063
     -4.94000      1.17031      0.40721      0.76310
     -4.93000      0.68309      0.22983      0.45326
     -4.92000      0.79477      0.27819      0.51658
     -4.91000      1.01704      0.35696      0.66008
     -4.90000      1.41226      0.49440      0.91786
     -4.89000      1.53908      0.54433      0.99475
     -4.88000      1.33697      0.47607      0.86090
     -4.87000      1.33938      0.49698      0.84240
     -4.86000      1.37342      0.53570      0.83771
     -4.85000      1.41361      0.58074      0.83287
     -4.84000      1.54805      0.66994      0.87810
     -4.83000      2.16576      0.96238      1.20339
     -4.82000      3.01712      1.29704      1.72008
     -4.81000      1.32490      0.55022      0.77467
     -4.80000      0.78280      0.30444      0.47836
     -4.79000      0.83185      0.32133      0.51052
     -4.78000      0.13984      0.05374      0.08610
     -4.77000      0.15089      0.05137      0.09953
     -4.76000      0.62435      0.21654      0.40781
     -4.75000      1.05842      0.38926      0.66916
     -4.74000      0.70390      0.26379      0.44012
     -4.73000      0.07775      0.02917      0.04858
     -4.72000      0.05157      0.01787      0.03370
     -4.71000      0.58309      0.20169      0.38140
     -4.70000      0.91493      0.31664      0.59829
     -4.69000      0.30291      0.11343      0.18948
     -4.68000      0.78627      0.33367      0.45260
     -4.67000      0.75753      0.32162      0.43591
     -4.66000      0.26258      0.10090      0.16168
     -4.65000      0.88105      0.31729      0.56376
     -4.64000      0.70282      0.25994      0.44288
     -4.63000      0.71617      0.32620      0.38997
     -4.62000      0.86629      0.40238      0.46392
     -4.61000      0.16701      0.07656      0.09044
     -4.60000      0.29775      0.11313      0.18462
     -4.59000      0.97534      0.36952      0.60581
     -4.58000      0.44085      0.16695      0.27391
     -4.57000      0.16157      0.05769      0.10388
     -4.56000      0.83311      0.29390      0.53921
     -4.55000      0.71690      0.25393      0.46297
     -4.54000      0.47431      0.18640      0.28790
     -4.53000      0.98425      0.39462      0.58963
     -4.52000      0.33050      0.13253      0.19797
     -4.51000      0.01504      0.00603      0.00901
     -4.50000      0.00155      0.00065      0.00090
     -4.49000      0.09386      0.03932      0.05454
     -4.48000      0.88034      0.36216      0.51817
     -4.47000      1.30099      0.51715      0.78384
     -4.46000      0.32802      0.12466      0.20337
     -4.45000      0.02167      0.00853      0.01314
     -4.44000      0.22985      0.10228      0.12757
     -4.43000      0.94480      0.42041      0.52439
     -4.42000      0.60481      0.26593      0.33888
     -4.41000      1.06598      0.44138      0.62460
     -4.40000      1.91891      0.80661      1.11229
     -4.39000      1.02911      0.40501      0.62410
     -4.38000      0.95531      0.34544      0.60987
     -4.37000      0.22062      0.07946      0.14116
     -4.36000      0.00702      0.00253      0.00449
     -4.35000      0.00003      0.00001      0.00002
     -4.34000      0.00000      0.00000      0.00000
     -4.33000      0.00000      0.00000      0.00000
     -4.32000      0.00022      0.00008      0.00014
     -4.31000      0.02672      0.00991      0.01681
     -4.30000      0.43877      0.16270      0.27607
     -4.29000      0.97510      0.36157      0.61353
     -4.28000      0.29331      0.10876      0.18455
     -4.27000      0.01912      0.00745      0.01167
     -4.26000      0.22334      0.09399      0.12935
     -4.25000      0.93919      0.39526      0.54393
     -4.24000      0.53468      0.22502      0.30966
     -4.23000      0.04120      0.01734      0.02386
     -4.22000      0.00204      0.00080      0.00124
     -4.21000      0.09890      0.03787      0.06103
     -4.20000      0.93964      0.35742      0.58222
     -4.19000      1.71715      0.64412      1.07303
     -4.18000      0.77626      0.29410      0.48216
     -4.17000      0.49939      0.21863      0.28076
     -4.16000      0.30367      0.13527      0.16840
     -4.15000      0.02768      0.01233      0.01535
     -4.14000      0.00034      0.00015      0.00019
     -4.13000      0.00004      0.00002      0.00002
     -4.12000      0.01074      0.00503      0.00570
     -4.11000      0.40615      0.18800      0.21816
     -4.10000      2.28998      1.04722      1.24276
     -4.09000      2.72412      1.22537      1.49875
     -4.08000      2.43004      1.04382      1.38622
     -4.07000      2.13243      0.88670      1.24573
     -4.06000      1.42280      0.66118      0.76162
     -4.05000      2.12399      1.00534      1.11865
     -4.04000      2.71214      1.28086      1.43128
     -4.03000      1.81899      0.86037      0.95863
     -4.02000      1.22944      0.57680      0.65264
     -4.01000      2.30089      1.03093      1.26996
     -4.00000      3.86872      1.71396      2.15476
     -3.99000      1.84507      0.77871      1.06636
     -3.98000      2.77976      1.17081      1.60896
     -3.97000      3.26617      1.36465      1.90152
     -3.96000      3.34491      1.37087      1.97405
     -3.95000      4.30767      1.78382      2.52385
     -3.94000      4.17576      1.78015      2.39562
     -3.93000      3.52571      1.47565      2.05006
     -3.92000      3.42231      1.39009      2.03222
     -3.91000      5.06168      2.01945      3.04223
     -3.90000      4.92955      1.98833      2.94122
     -3.89000      2.13745      0.83423      1.30322
     -3.88000      3.09952      1.14896      1.95056
     -3.87000      4.72760      1.78139      2.94620
     -3.86000      4.40188      1.71455      2.68732
     -3.85000      4.30777      1.68140      2.62637
     -3.84000      3.16994      1.21956      1.95038
     -3.83000      3.66807      1.48077      2.18730
     -3.82000      3.82466      1.52733      2.29733
