Energy (eV)    DOS (1/eV)    PDOS (1/eV)  of atom type Mo S  
     -5.05827      3.18237      1.47917      1.70321
     -5.04827      2.22356      1.00548      1.21808
     -5.03827      2.28171      1.00016      1.28155
     -5.02827      2.28536      0.95901      1.32635
     -5.01827      1.75186      0.69955      1.05231
     -5.00827      1.45523      0.53801      0.91722
     -4.99827      0.57861      0.20383      0.37478
     -4.98827      0.71410      0.24385      0.47024
     -4.97827      1.14460      0.39406      0.75053
     -4.96827      1.32151      0.45460      0.86691
     -4.95827      1.23622      0.43725      0.79897
     -4.94827      1.67122      0.60822      1.06300
     -4.93827      1.28678      0.47995      0.80683
     -4.92827      1.36913      0.54072      0.82841
     -4.91827      1.42286      0.58981      0.83306
     -4.90827      1.58478      0.68554      0.89923
     -4.89827      2.63145      1.13358      1.49787
     -4.88827      2.90278      1.22789      1.67489
     -4.87827      1.22975      0.50581      0.72394
     -4.86827      0.20150      0.07855      0.12294
     -4.85827      0.25017      0.09938      0.15078
     -4.84827      0.49611      0.19639      0.29972
     -4.83827      0.39458      0.14201      0.25257
     -4.82827      0.91345      0.32416      0.58929
     -4.81827      1.07377      0.39460      0.67917
     -4.80827      0.33520      0.12361      0.21159
     -4.79827      0.03326      0.01198      0.02128
     -4.78827      0.26957      0.09424      0.17533
     -4.77827      0.83930      0.28886      0.55044
     -4.76827      0.56662      0.19261      0.37401
     -4.75827      0.37538      0.15192      0.22346
     -4.74827      0.92485      0.39022      0.53463
     -4.73827      0.47827      0.20144      0.27683
     -4.72827      0.35784      0.13037      0.22747
     -4.71827      0.97549      0.34966      0.62583
     -4.70827      0.61114      0.23772      0.37342
     -4.69827      0.81540      0.37288      0.44252
     -4.68827      0.65164      0.30381      0.34782
     -4.67827      0.20919      0.08912      0.12007
     -4.66827      0.60806      0.23109      0.37697
     -4.65827      0.77459      0.28957      0.48502
     -4.64827      0.29008      0.10674      0.18334
     -4.63827      0.48130      0.17091      0.31040
     -4.62827      0.87848      0.30589      0.57259
     -4.61827      0.40110      0.14090      0.26020
     -4.60827      0.62600      0.24738      0.37861
     -4.59827      0.86183      0.34409      0.51774
     -4.58827      0.20294      0.08140      0.12155
     -4.57827      0.00773      0.00311      0.00461
     -4.56827      0.02120      0.00894      0.01226
     -4.55827      0.31607      0.13184      0.18423
     -4.54827      1.04163      0.41946      0.62217
     -4.53827      1.02876      0.40093      0.62782
     -4.52827      0.20568      0.07931      0.12637
     -4.51827      0.05011      0.02160      0.02851
     -4.50827      0.42674      0.18739      0.23935
     -4.49827      0.84341      0.37306      0.47035
     -4.48827      0.79015      0.33730      0.45285
     -4.47827      1.49822      0.61366      0.88456
     -4.46827      1.51955      0.62656      0.89299
     -4.45827      1.15016      0.44339      0.70677
     -4.44827      0.61368      0.21787      0.39582
     -4.43827      0.09465      0.03290      0.06176
     -4.42827      0.00242      0.00084      0.00158
     -4.41827      0.00001      0.00000      0.00001
     -4.40827      0.00000      0.00000      0.00000
     -4.39827      0.00001      0.00000      0.00000
     -4.38827      0.00187      0.00068      0.00118
     -4.37827      0.09529      0.03497      0.06032
     -4.36827      0.71375      0.26208      0.45167
     -4.35827      0.79821      0.29326      0.50496
     -4.34827      0.13513      0.04975      0.08538
     -4.33827      0.07818      0.03220      0.04598
     -4.32827      0.50954      0.21147      0.29807
     -4.31827      0.77864      0.32590      0.45274
     -4.30827      0.34998      0.14749      0.20249
     -4.29827      0.03118      0.01314      0.01803
     -4.28827      0.03640      0.01404      0.02236
     -4.27827      0.44131      0.16872      0.27259
     -4.26827      1.34950      0.50600      0.84350
     -4.25827      1.37636      0.50822      0.86814
     -4.24827      0.55820      0.21928      0.33892
     -4.23827      0.31531      0.13859      0.17672
     -4.22827      0.23985      0.10831      0.13154
     -4.21827      0.04643      0.02101      0.02542
     -4.20827      0.00813      0.00274      0.00540
     -4.19827      0.15862      0.05006      0.10855
     -4.18827      0.57359      0.19197      0.38161
     -4.17827      1.19850      0.51618      0.68233
     -4.16827      2.60274      1.18178      1.42096
     -4.15827      2.49850      1.12033      1.37817
     -4.14827      1.80718      0.84894      0.95823
     -4.13827      0.91868      0.44325      0.47542
     -4.12827      1.69616      0.78727      0.90890
     -4.11827      3.00865      1.35303      1.65562
     -4.10827      2.42365      1.12133      1.30232
     -4.09827      1.81296      0.83857      0.97439
     -4.08827      2.26404      1.01135      1.25269
     -4.07827      2.36250      1.03436      1.32814
     -4.06827      2.91174      1.28339      1.62834
     -4.05827      3.02091      1.26310      1.75781
     -4.04827      2.65526      1.04825      1.60700
     -4.03827      3.28892      1.38427      1.90465
     -4.02827      4.13545      1.74300      2.39244
     -4.01827      3.36874      1.41701      1.95173
     -4.00827      3.78498      1.59414      2.19084
     -3.99827      3.92649      1.61580      2.31068
     -3.98827      4.30655      1.73731      2.56925
     -3.97827      4.53223      1.78940      2.74283
     -3.96827      3.87711      1.52043      2.35668
     -3.95827      3.46554      1.32863      2.13691
     -3.94827      3.21303      1.19768      2.01534
     -3.93827      3.87718      1.49604      2.38113
     -3.92827      4.62726      1.80696      2.82030
     -3.91827      4.18805      1.60354      2.58451
     -3.90827      3.33401      1.28792      2.04609
     -3.89827      4.02268      1.59371      2.42897
     -3.88827      3.50030      1.38564      2.11465
     -3.87827      2.49307      0.94784      1.54523
     -3.86827      3.19291      1.18071      2.01220
     -3.85827      3.91676      1.48799      2.42878
     -3.84827      2.03798      0.81331      1.22467
     -3.83827      2.22956      0.92473      1.30483
     -3.82827      3.05345      1.22856      1.82489
     -3.81827      3.96082      1.55834      2.40247
     -3.80827      3.61269      1.37261      2.24008
     -3.79827      2.17887      0.79958      1.37929
     -3.78827      0.99486      0.42285      0.57201
     -3.77827      1.16198      0.52214      0.63984
     -3.76827      1.51393      0.54383      0.97010
     -3.75827      1.66145      0.57203      1.08941
     -3.74827      1.19761      0.45901      0.73860
     -3.73827      1.78690      0.74953      1.03736
     -3.72827      1.04412      0.44464      0.59948
     -3.71827      1.68768      0.72679      0.96089
     -3.70827      2.37414      0.99355      1.38059
     -3.69827      1.88227      0.74351      1.13876
     -3.68827      2.56487      1.04597      1.51891
     -3.67827      1.20181      0.48703      0.71479
