Energy (eV)    DOS (1/eV)    PDOS (1/eV)  of atom type Mo S  
     -2.49000    139.48114     42.47249     97.00865
     -2.48000    134.82661     42.05131     92.77530
     -2.47000    132.08614     42.03580     90.05034
     -2.46000    131.35317     42.10708     89.24609
     -2.45000    130.66793     41.59173     89.07620
     -2.44000    128.11087     40.15413     87.95675
     -2.43000    124.12935     38.40690     85.72245
     -2.42000    121.13952     37.52480     83.61472
     -2.41000    120.85036     38.14473     82.70563
     -2.40000    122.37201     39.71491     82.65710
     -2.39000    123.22015     40.99386     82.22629
     -2.38000    121.84215     41.12987     80.71228
     -2.37000    118.69241     40.20169     78.49072
     -2.36000    115.31765     38.91606     76.40159
     -2.35000    113.35360     38.09233     75.26127
     -2.34000    114.22022     38.36758     75.85263
     -2.33000    118.54399     39.94705     78.59694
     -2.32000    125.31152     42.39495     82.91657
     -2.31000    132.18702     44.86852     87.31850
     -2.30000    137.19256     46.75987     90.43270
     -2.29000    139.80824     47.99202     91.81622
     -2.28000    140.20238     48.60199     91.60039
     -2.27000    138.17351     48.38372     89.78980
     -2.26000    133.79713     47.30534     86.49180
     -2.25000    128.70661     46.03478     82.67183
     -2.24000    125.54989     45.58394     79.96595
     -2.23000    125.91751     46.46520     79.45230
     -2.22000    129.37882     48.46359     80.91523
     -2.21000    134.63238     51.09764     83.53474
     -2.20000    140.94874     53.95699     86.99175
     -2.19000    147.98355     56.59380     91.38975
     -2.18000    154.34889     58.35890     95.98999
     -2.17000    157.04794     58.48742     98.56052
     -2.16000    153.14867     56.40517     96.74350
     -2.15000    142.49238     52.14798     90.34440
     -2.14000    128.42592     46.59140     81.83452
     -2.13000    115.24054     41.06270     74.17784
     -2.12000    104.98383     36.51933     68.46450
     -2.11000     97.27811     33.15717     64.12094
     -2.10000     91.85513     30.83648     61.01864
     -2.09000     90.15293     29.69964     60.45329
     -2.08000     94.09940     30.26185     63.83755
     -2.07000    103.88875     32.93300     70.95575
     -2.06000    117.03840     37.35735     79.68105
     -2.05000    129.05104     42.07010     86.98094
     -2.04000    135.09502     44.95894     90.13608
     -2.03000    132.17227     44.44759     87.72468
     -2.02000    120.69619     40.46941     80.22678
     -2.01000    104.39350     34.43089     69.96261
     -2.00000     88.70124     28.38502     60.31622
     -1.99000     78.46286     24.07591     54.38695
     -1.98000     75.65004     22.24121     53.40883
     -1.97000     78.43545     22.43278     56.00267
     -1.96000     82.74374     23.47586     59.26788
     -1.95000     85.26987     24.26107     61.00880
     -1.94000     85.40860     24.35183     61.05677
     -1.93000     84.62049     24.06439     60.55610
     -1.92000     84.30541     24.02871     60.27669
     -1.91000     84.56775     24.59790     59.96985
     -1.90000     84.72426     25.51206     59.21220
     -1.89000     84.23851     26.00677     58.23174
     -1.88000     83.08549     25.40314     57.68236
