Energy (eV)    DOS (1/eV)    PDOS (1/eV)  of atom type Mo S  
 
     -2.56823    142.50380     43.60413     98.89967
     -2.55823    138.06081     42.55730     95.50351
     -2.54823    134.46235     41.73748     92.72487
     -2.53823    131.78207     41.25318     90.52889
     -2.52823    129.91641     41.08806     88.82836
     -2.51823    128.53696     41.08506     87.45190
     -2.50823    127.11823     40.99268     86.12555
     -2.49823    125.29494     40.63076     84.66418
     -2.48823    123.36140     40.09016     83.27124
     -2.47823    122.16926     39.70323     82.46603
     -2.46823    122.24471     39.73605     82.50867
     -2.45823    123.18588     40.16158     83.02430
     -2.44823    124.15338     40.77214     83.38123
     -2.43823    124.66572     41.38878     83.27694
     -2.42823    124.64085     41.87401     82.76684
     -2.41823    124.02901     42.08073     81.94829
     -2.40823    122.88045     41.96029     80.92016
     -2.39823    121.62605     41.68718     79.93887
     -2.38823    120.86154     41.55304     79.30850
     -2.37823    120.80588     41.72490     79.08098
     -2.36823    121.20998     42.16273     79.04725
     -2.35823    121.88084     42.76898     79.11186
     -2.34823    123.16683     43.57333     79.59350
     -2.33823    125.77909     44.75721     81.02188
     -2.32823    130.06914     46.50094     83.56821
     -2.31823    135.54179     48.80439     86.73740
     -2.30823    141.18286     51.45416     89.72871
     -2.29823    146.16139     54.11660     92.04479
     -2.28823    149.94736     56.36566     93.58169
     -2.27823    151.84060     57.64484     94.19575
     -2.26823    150.97526     57.43519     93.54008
     -2.25823    147.15578     55.65451     91.50127
     -2.24823    141.35773     52.82131     88.53642
     -2.23823    135.01076     49.68715     85.32361
     -2.22823    129.01121     46.75624     82.25497
     -2.21823    123.80098     44.24312     79.55786
     -2.20823    120.08567     42.33874     77.74693
     -2.19823    118.63430     41.22616     77.40814
     -2.18823    119.01241     40.74979     78.26261
     -2.17823    119.09416     40.27965     78.81452
     -2.16823    116.61990     39.14463     77.47527
     -2.15823    111.36955     37.23892     74.13063
     -2.14823    105.44004     35.11089     70.32915
     -2.13823    101.18805     33.40594     67.78211
     -2.12823     99.03017     32.25240     66.77778
     -2.11823     97.48042     31.27062     66.20980
     -2.10823     95.33311     30.20341     65.12970
     -2.09823     93.37232     29.38232     63.98999
     -2.08823     93.46942     29.37734     64.09209
     -2.07823     96.09675     30.20195     65.89480
     -2.06823     99.21948     31.04935     68.17013
     -2.05823     99.89281     30.92648     68.96634
     -2.04823     96.87806     29.52670     67.35136
     -2.03823     91.63757     27.45798     64.17959
     -2.02823     86.93099     25.68972     61.24127
     -2.01823     84.61757     24.83245     59.78513
     -2.00823     84.59688     24.81867     59.77820
     -1.99823     85.36870     25.07753     60.29117
     -1.98823     85.48756     25.02909     60.45847
     -1.97823     84.76507     24.56188     60.20319
     -1.96823     84.22254     24.06675     60.15580
     -1.95823     84.83846     23.96365     60.87482
     -1.94823     86.34349     24.20893     62.13455
     -1.93823     87.30224     24.30370     62.99854
     -1.92823     86.47234     23.80605     62.66628
     -1.91823     84.07877     22.81028     61.26849
     -1.90823     81.60078     21.85411     59.74667
     -1.89823     80.32762     21.36414     58.96348
     -1.88823     80.34270     21.28914     59.05356
     -1.87823     80.87628     21.28387     59.59241
     -1.86823     81.31555     21.13667     60.17887
     -1.85823     81.72694     20.94176     60.78517
