Energy (eV)    DOS (1/eV)    PDOS (1/eV)  of atom type Mo S  
     -5.05829      5.54490      2.49305      3.05185
     -5.04829      5.07915      2.25006      2.82909
     -5.03829      4.61484      2.00212      2.61271
     -5.02829      4.27420      1.80581      2.46839
     -5.01829      4.14782      1.70565      2.44217
     -5.00829      4.19328      1.68987      2.50341
     -4.99829      4.21791      1.68073      2.53718
     -4.98829      4.00621      1.58557      2.42064
     -4.97829      3.50626      1.37609      2.13017
     -4.96829      2.88121      1.11489      1.76632
     -4.95829      2.36339      0.89809      1.46531
     -4.94829      2.07626      0.77955      1.29671
     -4.93829      1.99222      0.74959      1.24263
     -4.92829      2.00756      0.76412      1.24343
     -4.91829      2.02472      0.77946      1.24526
     -4.90829      1.99222      0.77110      1.22112
     -4.89829      1.91149      0.73881      1.17268
     -4.88829      1.82102      0.70059      1.12044
     -4.87829      1.76580      0.67821      1.08759
     -4.86829      1.77124      0.68428      1.08696
     -4.85829      1.83368      0.71745      1.11623
     -4.84829      1.92044      0.76303      1.15741
     -4.83829      1.97728      0.79627      1.18101
     -4.82829      1.95298      0.79265      1.16033
     -4.81829      1.83257      0.74314      1.08942
     -4.80829      1.64871      0.66140      0.98731
     -4.79829      1.45837      0.57468      0.88369
     -4.78829      1.30844      0.50696      0.80148
     -4.77829      1.21984      0.46905      0.75079
     -4.76829      1.19221      0.45993      0.73228
     -4.75829      1.21109      0.47143      0.73966
     -4.74829      1.24960      0.49065      0.75895
     -4.73829      1.27414      0.50279      0.77135
     -4.72829      1.26052      0.49766      0.76286
     -4.71829      1.20944      0.47605      0.73339
     -4.70829      1.14611      0.44926      0.69685
     -4.69829      1.10501      0.43225      0.67276
     -4.68829      1.11224      0.43603      0.67621
     -4.67829      1.17173      0.46236      0.70938
     -4.66829      1.25781      0.50110      0.75671
     -4.65829      1.32465      0.53352      0.79113
     -4.64829      1.33423      0.54260      0.79163
     -4.63829      1.28109      0.52336      0.75774
     -4.62829      1.19142      0.48454      0.70688
     -4.61829      1.10057      0.44120      0.65938
     -4.60829      1.02997      0.40497      0.62499
     -4.59829      0.98096      0.37972      0.60124
     -4.58829      0.94730      0.36473      0.58257
     -4.57829      0.92973      0.35992      0.56980
     -4.56829      0.93488      0.36602      0.56886
     -4.55829      0.96250      0.38074      0.58176
     -4.54829      0.99894      0.39714      0.60180
     -4.53829      1.02429      0.40666      0.61763
     -4.52829      1.02422      0.40410      0.62012
     -4.51829      0.99743      0.39060      0.60683
     -4.50829      0.95695      0.37322      0.58373
     -4.49829      0.92439      0.36136      0.56303
     -4.48829      0.91760      0.36158      0.55602
     -4.47829      0.94156      0.37476      0.56680
     -4.46829      0.99145      0.39804      0.59341
     -4.45829      1.05746      0.42667      0.63079
     -4.44829      1.11867      0.45158      0.66709
     -4.43829      1.13945      0.45843      0.68103
     -4.42829      1.08922      0.43568      0.65354
     -4.41829      0.97281      0.38628      0.58653
     -4.40829      0.83556      0.32901      0.50655
     -4.39829      0.73405      0.28679      0.44726
     -4.38829      0.70309      0.27367      0.42943
     -4.37829      0.74529      0.29041      0.45489
     -4.36829      0.83621      0.32664      0.50957
     -4.35829      0.93014      0.36383      0.56631
     -4.34829      0.97518      0.38180      0.59338
     -4.33829      0.94559      0.37087      0.57472
     -4.32829      0.86362      0.33956      0.52406
     -4.31829      0.78018      0.30715      0.47303
     -4.30829      0.73446      0.28873      0.44573
     -4.29829      0.73919      0.28961      0.44958
     -4.28829      0.79368      0.30988      0.48380
     -4.27829      0.88876      0.34600      0.54277
     -4.26829      0.99553      0.38689      0.60864
     -4.25829      1.06908      0.41560      0.65347
     -4.24829      1.08007      0.42100      0.65907
     -4.23829      1.03994      0.40697      0.63297
     -4.22829      0.98945      0.38877      0.60068
     -4.21829      0.97317      0.38497      0.58820
     -4.20829      1.03957      0.41882      0.62075
     -4.19829      1.25463      0.52249      0.73213
     -4.18829      1.67710      0.72345      0.95364
     -4.17829      2.29032      1.01327      1.27705
     -4.16829      2.96853      1.33359      1.63493
     -4.15829      3.54419      1.60702      1.93717
     -4.14829      3.92339      1.78857      2.13482
     -4.13829      4.12843      1.88545      2.24297
     -4.12829      4.23699      1.93186      2.30513
     -4.11829      4.30839      1.95647      2.35193
     -4.10829      4.37628      1.97649      2.39980
     -4.09829      4.48059      2.00931      2.47128
     -4.08829      4.66293      2.07164      2.59129
     -4.07829      4.91898      2.16205      2.75692
     -4.06829      5.18558      2.25656      2.92902
     -4.05829      5.40597      2.33388      3.07210
     -4.04829      5.59979      2.40196      3.19783
     -4.03829      5.84812      2.49103      3.35709
     -4.02829      6.21656      2.62333      3.59322
     -4.01829      6.70452      2.79474      3.90978
     -4.00829      7.24905      2.97835      4.27069
     -3.99829      7.75112      3.13661      4.61451
     -3.98829      8.10839      3.23436      4.87402
     -3.97829      8.26056      3.25490      5.00566
     -3.96829      8.23071      3.21286      5.01785
     -3.95829      8.12104      3.15050      4.97053
     -3.94829      8.04830      3.11276      4.93554
     -3.93829      8.06378      3.11757      4.94620
     -3.92829      8.12144      3.14434      4.97710
     -3.91829      8.11480      3.14875      4.96605
     -3.90829      7.95447      3.09360      4.86088
     -3.89829      7.63510      2.97541      4.65970
     -3.88829      7.23623      2.82469      4.41153
     -3.87829      6.84836      2.67674      4.17162
     -3.86829      6.49752      2.54193      3.95559
     -3.85829      6.14775      2.40656      3.74118
     -3.84829      5.76667      2.25824      3.50843
     -3.83829      5.36745      2.10216      3.26529
     -3.82829      4.98405      1.95167      3.03238
     -3.81829      4.63036      1.81251      2.81785
     -3.80829      4.30915      1.68644      2.62271
     -3.79829      4.05049      1.58600      2.46449
     -3.78829      3.90433      1.53056      2.37376
     -3.77829      3.87860      1.52155      2.35705
     -3.76829      3.90277      1.52951      2.37326
     -3.75829      3.87155      1.51339      2.35817
     -3.74829      3.72625      1.45234      2.27391
     -3.73829      3.49231      1.35817      2.13414
     -3.72829      3.24403      1.26005      1.98398
     -3.71829      3.03896      1.18006      1.85891
     -3.70829      2.88555      1.12237      1.76318
     -3.69829      2.76251      1.08100      1.68151
     -3.68829      2.64955      1.04991      1.59964
     -3.67829      2.53038      1.02182      1.50856
     -3.66829      2.38137      0.98330      1.39807
     -3.65829      2.17924      0.91980      1.25944
     -3.64829      1.92643      0.82860      1.09783
     -3.63829      1.66387      0.72551      0.93837
     -3.62829      1.45380      0.63816      0.81564
     -3.61829      1.34507      0.59093      0.75414
     -3.60829      1.34827      0.59194      0.75633
     -3.59829      1.43742      0.63041      0.80701
     -3.58829      1.57198      0.68548      0.88650
     -3.57829      1.71637      0.73861      0.97776
     -3.56829      1.84344      0.77971      1.06372
     -3.55829      1.93267      0.80641      1.12626
     -3.54829      1.97828      0.82251      1.15577
     -3.53829      1.99661      0.83624      1.16037
     -3.52829      2.01256      0.85335      1.15921
     -3.51829      2.03879      0.87073      1.16807
     -3.50829      2.08513      0.88470      1.20043
     -3.49829      2.19225      0.90963      1.28262
     -3.48829      2.42694      0.97780      1.44913
     -3.47829      2.81316      1.10794      1.70522
     -3.46829      3.27570      1.27637      1.99933
     -3.45829      3.68618      1.43235      2.25383
     -3.44829      3.97766      1.54540      2.43227
     -3.43829      4.19454      1.62807      2.56647
     -3.42829      4.41810      1.70874      2.70936
     -3.41829      4.66250      1.79257      2.86993
     -3.40829      4.86709      1.85956      3.00753
     -3.39829      4.98592      1.89783      3.08808
     -3.38829      5.05563      1.92594      3.12969
     -3.37829      5.15378      1.97329      3.18049
     -3.36829      5.30198      2.04291      3.25907
     -3.35829      5.44141      2.10569      3.33571
     -3.34829      5.51223      2.13492      3.37731
     -3.33829      5.53340      2.13861      3.39479
     -3.32829      5.59153      2.15479      3.43675
     -3.31829      5.77270      2.22353      3.54917
     -3.30829      6.12080      2.36783      3.75297
     -3.29829      6.63525      2.58874      4.04652
     -3.28829      7.26343      2.86086      4.40258
     -3.27829      7.88581      3.13030      4.75551
     -3.26829      8.34536      3.33292      5.01244
     -3.25829      8.53036      3.43027      5.10009
     -3.24829      8.44083      3.43223      5.00860
     -3.23829      8.17651      3.38434      4.79217
     -3.22829      7.86499      3.33322      4.53177
